epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.411783,1.431,0.25,1,1.52358,0,0,0
2,1.07205,1.52046,0.25,1,1.53704,1.12625e-05,1.12625e-05,1.12625e-05
3,1.5446,1.43353,0.25,1,1.54187,2.005e-05,2.005e-05,2.005e-05
4,1.98928,1.50889,0.25,1,1.5252,2.63625e-05,2.63625e-05,2.63625e-05
5,2.38452,1.47841,0.25,1,1.51251,3.02e-05,3.02e-05,3.02e-05
6,2.79008,1.39435,0.25,1,1.50624,3.15625e-05,3.15625e-05,3.15625e-05
7,3.20522,1.39958,0.5,1,1.49727,3.045e-05,3.045e-05,3.045e-05
8,3.61237,1.44411,0.5,1,1.49259,2.68625e-05,2.68625e-05,2.68625e-05
9,4.02743,1.43609,0.5,1,1.48049,2.08e-05,2.08e-05,2.08e-05
10,4.43218,1.39636,0.5,1,1.47829,1.22625e-05,1.22625e-05,1.22625e-05
