epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,0.42165,1.44093,0.25,1,1.52583,0,0,0
2,1.32193,1.49688,0.25,1,1.55449,1.12625e-05,1.12625e-05,1.12625e-05
3,1.79064,1.39014,0.25,1,1.56046,2.005e-05,2.005e-05,2.005e-05
4,2.2881,1.44388,0.25,1,1.55172,2.63625e-05,2.63625e-05,2.63625e-05
5,2.7145,1.42843,0.25,1,1.5361,3.02e-05,3.02e-05,3.02e-05
6,3.13061,1.40718,0.25,1,1.52271,3.15625e-05,3.15625e-05,3.15625e-05
7,3.52588,1.44622,0.5,1,1.50393,3.045e-05,3.045e-05,3.045e-05
8,3.93211,1.3944,0.5,1,1.4936,2.68625e-05,2.68625e-05,2.68625e-05
9,4.36371,1.46299,0.5,1,1.48034,2.08e-05,2.08e-05,2.08e-05
10,4.87851,1.43339,0.5,1,1.47311,1.22625e-05,1.22625e-05,1.22625e-05
