epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.7957,1.44093,0.25,1,1.52583,0,0,0
2,16.3481,1.49688,0.25,1,1.55449,1.12625e-05,1.12625e-05,1.12625e-05
3,20.9379,1.39014,0.25,1,1.56046,2.005e-05,2.005e-05,2.005e-05
4,22.4934,1.44388,0.25,1,1.55172,2.63625e-05,2.63625e-05,2.63625e-05
5,23.5118,1.42843,0.25,1,1.5361,3.02e-05,3.02e-05,3.02e-05
6,24.3731,1.40718,0.25,1,1.52271,3.15625e-05,3.15625e-05,3.15625e-05
7,25.2609,1.44622,0.5,1,1.50393,3.045e-05,3.045e-05,3.045e-05
8,26.0608,1.3944,0.5,1,1.4936,2.68625e-05,2.68625e-05,2.68625e-05
9,26.8244,1.46299,0.5,1,1.48034,2.08e-05,2.08e-05,2.08e-05
10,27.5019,1.43339,0.5,1,1.47311,1.22625e-05,1.22625e-05,1.22625e-05
